date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood
2017-01-15 03:24:53,RS1070080,107,Senate,80,2001-04-05,,94,6,"To provide for a $85 billion tax rebate, and for other purposes.",Budget resolution ,Tax rates,Budget General Interest,,Government Management,-1.618305533486218,-1.3249356896995368,-0.215,-0.977,-0.115,-0.411,0.0,0.94,-20.896558
2017-01-15 03:24:53,RS1070081,107,Senate,81,2001-04-05,,45,55,To provide for a tax cut accelerator.,Budget resolution ,Tax rates,Budget General Interest,,Government Management,-5.262139811594323,0.4733304432318947,0.089,0.005,-0.676,-0.743,0.911,0.96,-6.94022
2017-01-15 03:24:53,RS1070082,107,Senate,82,2001-04-05,,54,46,To increase funding for IDEA.,Budget resolution ,Handicapped,Budget General Interest,Domestic Social Policy,Government Management,-10.070413195999963,0.7810142152560006,-0.014,0.922,0.592,0.34,0.957,0.98,-7.933332
2017-01-15 03:24:53,RS1070083,107,Senate,83,2001-04-05,,49,51,To provide tax credits for small business to purchase health insurance for their employees and to provide for the deductibility of health insurance for the self-employed and those who don't receive health insurance from their employers and for long-term are.,Budget resolution ,Public Health,Budget General Interest,Domestic Social Policy,Government Management,62.51481164746599,-2.5840480309562412,0.037,-0.271,-0.735,0.068,1.0,1.0,-2.274472
2017-01-15 03:24:53,RS1070084,107,Senate,84,2001-04-06,,53,46,To increase discretionary funding for veterans medical care by $1.718 billion in 2002 and each year thereafter to ensure that veterans have access to quality medical care.,Budget resolution ,Military Pensions/Veterans Benefits,Defense Policy Budget,Domestic Social Policy,Government Management,-18.768619188490927,1.0750744767539637,0.004,1.0,0.331,0.102,0.935,0.97,-13.621346
2017-01-15 03:24:53,RS1070085,107,Senate,85,2001-04-06,,99,0,Increase Veterans discretionary spending for FY02.,Budget resolution ,Military Pensions/Veterans Benefits,Defense Policy Budget,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:24:53,RS1070086,107,Senate,86,2001-04-06,,65,35,"A concurrent resolution establishing the congressional budget for the United States Government for fiscal year 2002, revising the congressional budget for the United States Government for fiscal year 2001, and setting forth appropriate budgetary levels fr each of fiscal years 2003 through 2011.",Budget resolution ,,Budget General Interest,,Government Management,549.4499091736467,129.11972865580697,-0.235,-0.001,-0.76,0.008,0.743,0.91,-15.488671
2017-01-15 03:24:53,RS1070087,107,Senate,87,2001-04-25,,100,0,"A bill to amend the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 to promote the cleanup and reuse of brownfields, to provide financial assistance for brownfields revitalization, to enhance State response programs, and forother purposes.",Pollution and Environmental Protection,,Regulation Special Interest,Budget Special Interest,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:24:53,RS1070088,107,Senate,88,2001-05-01,,96,3,An original bill to extend programs and activities under the Elementary and Secondary Education Act of 1965.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,18.352071865111682,10.062609969225223,-0.584,-0.655,-0.33,0.104,0.0,0.97,-9.563523
2017-01-15 03:24:53,RS1070089,107,Senate,89,2001-05-03,,100,0,To improve the Read First Program.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,,,0.0,0.0,0.0,0.0,,,0.0
