id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RS1110414,111,Senate,414,2010-02-01,,60,32,To pay for the full cost of extending additional unemployment insurance and other Federal programs.,,,Government Organization,,Government Management,5.059760183994476,-0.2775219185280442,-0.008,-0.318,0.657,-0.751
RS1110415,111,Senate,415,2010-02-04,,61,37,To pay for the full cost of extending additional unemployment insurance and other Federal programs.,,,Government Organization,,Government Management,5.067461493254742,-0.2771904620809431,-0.012,-0.338,0.658,-0.751
RS1110416,111,Senate,416,2010-02-04,,82,16,Expressing the sense of the Senate that the Value Added Tax is a massive tax increase that will cripple families on fixed income and only further push back America's economic recovery and the Senate opposes a Value Added Tax.,,,Government Organization,,Government Management,1.0631770688344557,-0.7032689098602205,-0.249,-0.968,0.075,-0.408
RS1110417,111,Senate,417,2010-02-04,,97,0,In the nature of a substitute.,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1110418,111,Senate,418,2010-02-09,,85,0,"A bill to provide a temporary extension of certain programs, and for other purposes.",Judiciary,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1110419,111,Senate,419,2010-02-09,,53,33,"Lael Brainard, of the District of Columbia, to be an Under Secretary of the Treasury",Union Regulation/Davis-Bacon/Situs Picketing,,Government Organization,,Government Management,-13.919397699065719,-1.0598742251289945,-0.076,-0.002,0.722,0.3
RS1110420,111,Senate,420,2010-02-22,,62,30,"Lael Brainard, of the District of Columbia, to be an Under Secretary of the Treasury",Unemployment/Jobs,,Domestic Social Policy,Budget Special Interest,Social Welfare,-3.8338809451909164,0.4815772132719192,0.141,-0.059,0.525,0.792
RS1110421,111,Senate,421,2010-02-24,,62,34,To reimpose statutory pay-as-you-go.,Unemployment/Jobs,,Domestic Social Policy,Budget Special Interest,Social Welfare,-16.49208690380513,2.972608770009426,0.239,-0.969,0.288,0.101
RS1110422,111,Senate,422,2010-02-24,,71,28,"Marisa J. Demeo, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years",Unemployment/Jobs,,Domestic Social Policy,Budget Special Interest,Social Welfare,-507.0362319742774,152.17194205623179,0.302,-0.953,0.263,0.003
RS1110423,111,Senate,423,2010-02-25,,76,20,"Christopher H. Schroeder, of North Carolina, to be an Assistant Attorney General",,,Budget Special Interest,Government Organization,Government Management,10.140223887688629,-4.177454928379979,0.424,0.122,0.27,-0.154
RS1110424,111,Senate,424,2010-02-25,,38,58,"Thomas I. Vanaskie, of Pennsylvania, to be United States Circuit Judge for the Third Circuit",Parks and Conservation,,Regulation Special Interest,,Government Management,-3.9564621740688595,0.07983269867835663,-0.111,0.519,-0.262,-0.383
RS1110425,111,Senate,425,2010-02-25,,78,18,"Denny Chin, of New York, to be United States Circuit Judge for the Second Circuit",,,Budget Special Interest,Government Organization,Government Management,6.2347044256787525,-2.7501064499337184,0.418,-0.144,0.235,-0.218
RS1110426,111,Senate,426,2010-03-02,,99,0,"An original bill to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end ""too big to fail"", to protect the American taxpayer by ending bailouts, to protect consumers from abusive financial services practices, and for other purposes.",Judiciary,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1110427,111,Senate,427,2010-03-02,,100,0,"An original bill to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end ""too big to fail"", to protect the American taxpayer by ending bailouts, to protect consumers from abusive financial services practices, and for other purposes.",Judiciary,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1110428,111,Senate,428,2010-03-02,,43,53,"An original bill to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end ""too big to fail"", to protect the American taxpayer by ending bailouts, to protect consumers from abusive financial services practices, and for other purposes.",,,Budget Special Interest,,Government Management,5.766747139512266,0.5803421853463493,-0.11,-0.054,-0.681,0.683
RS1110429,111,Senate,429,2010-03-02,,78,19,"An original bill to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end ""too big to fail"", to protect the American taxpayer by ending bailouts, to protect consumers from abusive financial services practices, and for other purposes.",,,Budget Special Interest,,Government Management,-1480.6229131416164,638.0884755640367,0.431,-0.06,0.256,0.001
RS1110430,111,Senate,430,2010-03-03,,38,61,"Gloria M. Navarro, of Nevada, to be United States District Judge for the District of Nevada",Tax rates,,Budget Special Interest,,Government Management,-90.49763209918888,10.252715851902666,0.12,-0.607,-0.266,-0.017
RS1110431,111,Senate,431,2010-03-03,,54,45,"Nancy D. Freudenthal, of Wyoming, to be United States District Judge for the District of Wyoming",,,Budget Special Interest,,Government Management,-12.292537803820519,-1.5729821498699237,-0.123,-0.061,0.695,0.327
RS1110432,111,Senate,432,2010-03-03,,38,59,In the nature of a substitute.,Social Security,,Budget Special Interest,,Government Management,-2.81175985909105,-0.021621871809139326,-0.342,0.94,-0.158,-0.325
RS1110433,111,Senate,433,2010-03-03,,47,50,To prohibit taxpayers from ever having to bail out the financial sector.,Social Security,,Budget Special Interest,,Government Management,10.900018441096634,1.5475017519041803,-0.095,0.512,0.245,-0.13
RS1110434,111,Senate,434,2010-03-03,,56,41,To improve the bill.,,,Budget Special Interest,,Government Management,304.0564910915819,30.14259261806661,-0.099,0.041,0.736,-0.014
RS1110435,111,Senate,435,2010-03-03,,61,36,"To require the Corporation to amend the definition of the term ""assessment base"".",,,Budget Special Interest,,Government Management,-5.977395133795402,0.4158633094845584,0.183,-0.678,0.432,0.418
RS1110436,111,Senate,436,2010-03-03,,60,37,"To establish a Division of Consumer Financial Protection within the Federal Deposit Insurance Corporation, and for other purposes.",,,Budget Special Interest,,Government Management,59.22165811256355,-4.802954307117648,0.081,-0.006,0.727,-0.071
RS1110437,111,Senate,437,2010-03-04,,44,56,"An original bill to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end ""too big to fail"", to protect the American taxpayer by ending bailouts, to protect consumers from abusive financial services practices, and for other purposes.",Social Security,,Budget Special Interest,,Government Management,30.285468677896695,0.6355743758652397,0.012,0.999,-0.288,0.055
RS1110438,111,Senate,438,2010-03-04,,22,78,"To amend the definition of the term ""financial company"" for purposes of limits on nondesposit liabilities.",Tax rates,,Budget Special Interest,,Government Management,2.009584859600314,-0.8794344932835815,-0.059,-0.998,-0.123,0.354
RS1110439,111,Senate,439,2010-03-04,,59,41,To impose leverage and liability limits on bank holding companies and financial companies.,,,Budget General Interest,,Government Management,27.158164847026935,6.4553269038983565,-0.236,0.046,-0.756,0.161
RS1110440,111,Senate,440,2010-03-04,,100,0,"To require the non-partisan Government Accountability Office to conduct an independent audit of the Board of Governors of the Federal Reserve System that does not interfere with monetary policy, to let the American people know the names of the recipients of over $2,000,000,000,000 in taxpayer assistance from the Federal Reserve System, and for other purposes.",Judiciary,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
